run,name,learning_rate,gamma,hidden_size,entropy_coeff,use_baseline,mean_reward,std_reward,mean_length
1,baseline,0.001,0.99,128,0.01,True,-46.438149589181435,18.10214898806364,40.1
2,high_lr,0.005,0.99,128,0.01,True,-53.9,7.449161026585477,39.8
3,low_lr,0.0001,0.99,128,0.01,True,-54.05,11.271534944274448,39.35
4,no_baseline,0.001,0.99,128,0.01,False,-38.9,18.019156473042795,38.15
5,high_gamma,0.001,0.999,128,0.01,True,15.725900000000001,51.14039973826955,60.0
6,low_gamma,0.001,0.9,128,0.01,True,-38.15,23.801838164309917,38.05
7,large_net,0.001,0.99,256,0.01,True,-49.5,6.910137480542627,36.6
8,small_net,0.001,0.99,64,0.01,True,-17.25,30.319754286603313,33.1
9,high_entropy,0.001,0.99,128,0.05,True,-50.55,9.345988444247084,41.05
10,low_entropy,0.001,0.99,128,0.001,True,-32.39226274938345,22.79162774480899,42.9
